"Daily Weather Observations for Perth Airport, Western Australia for December 2022"
"Prepared at 16:03 UTC on Thursday  2 February 2023   IDCJDW6110.202212"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-12-1,19.7,24.0,0,8.2,1.1,WSW,35,14:54,21.0,69,8,WSW,19,1009.2,22.1,59,7,WSW,28,1008.7
,2022-12-2,14.9,24.7,0,4.8,8.8,W,41,11:39,20.1,62,7,S,13,1010.3,24.5,41,0,SW,20,1008.9
,2022-12-3,11.5,29.1,0,6.2,12.6,SE,48,23:23,22.3,51,7,ESE,11,1011.9,27.7,42,1,SW,30,1009.2
,2022-12-4,17.1,30.6,0,8.2,12.8,ESE,54,12:07,23.0,47,1,E,28,1014.0,29.2,34,5,SE,19,1010.7
,2022-12-5,16.2,29.4,0,7.8,11.4,W,44,13:59,22.9,52,1,E,20,1013.2,26.4,50,6,WSW,30,1010.0
,2022-12-6,16.3,28.4,0,7.4,10.2,ESE,54,23:51,20.5,59,7,SSE,26,1014.9,26.4,39,4,WSW,24,1012.0
,2022-12-7,14.4,31.6,0,8.6,12.8,E,74,04:58,21.1,44,1,E,30,1013.7,29.7,25,2,E,24,1007.1
,2022-12-8,17.7,26.1,0,9.6,12.0,E,52,04:21,24.2,45,1,W,17,1007.8,24.0,55,4,WSW,26,1008.6
,2022-12-9,16.5,23.8,0,6.4,10.6,W,41,15:29,20.8,49,7,SSW,13,1013.0,22.4,43,1,W,26,1012.4
,2022-12-10,11.0,25.9,0,8.0,13.0,SW,48,13:44,21.3,38,1,SE,22,1018.6,24.4,29,3,SW,28,1017.3
,2022-12-11,13.5,28.1,0,9.2,13.1,E,52,10:10,19.8,44,1,E,28,1021.1,27.2,20,0,E,17,1017.3
,2022-12-12,13.8,29.6,0,8.8,13.1,E,83,23:58,20.1,41,0,ENE,31,1019.2,29.3,20,1,ESE,22,1014.9
,2022-12-13,13.6,22.5,0.2,10.8,4.6,E,87,00:49,13.9,73,8,E,28,1015.3,20.0,54,5,ESE,22,1013.6
,2022-12-14,13.5,31.2,0.6,4.0,13.1,E,56,01:23,21.4,46,0,ESE,28,1014.9,30.6,23,1,S,19,1010.7
,2022-12-15,16.9,31.6,0,8.4,12.1,E,67,02:10,23.9,42,1,E,31,1012.7,29.8,27,2,E,22,1009.5
,2022-12-16,15.9,30.9,0,8.8,12.9,ESE,54,00:40,22.6,44,0,E,24,1015.2,30.5,21,1,E,19,1011.1
,2022-12-17,15.9,31.9,0,10.8,12.6,E,67,07:02,22.7,47,0,E,26,1014.0,29.6,24,3,ESE,17,1010.3
,2022-12-18,17.6,33.6,0,10.2,11.6,E,56,06:10,26.3,37,2,ENE,30,1011.3,32.9,16,3,SE,11,1007.7
,2022-12-19,17.9,36.8,0,10.2,11.8,E,57,01:22,30.2,24,1,ENE,30,1009.1,35.7,12,4,SE,15,1006.1
,2022-12-20,22.8,37.4,0,11.6,13.1,ESE,59,23:30,30.9,24,0,ENE,26,1010.2,36.4,14,1,WSW,24,1007.5
,2022-12-21,20.1,35.0,0,14.4,12.0,E,61,02:51,26.8,33,1,E,24,1011.1,31.5,25,6,WSW,28,1008.6
,2022-12-22,19.2,37.0,0,12.2,13.0,E,69,03:17,26.6,41,0,E,28,1011.3,36.6,16,2,SSE,20,1008.2
,2022-12-23,19.7,37.5,0,10.8,13.3,WSW,35,12:25,31.8,20,1,NNE,15,1011.5,34.8,16,0,WSW,24,1008.9
,2022-12-24,19.1,32.6,0,11.8,13.3,SSW,37,15:07,29.1,30,0,WSW,6,1008.6,32.1,27,0,SW,26,1007.2
,2022-12-25,15.6,30.8,0,9.8,13.2,W,37,15:32,24.3,50,1,SSE,13,1008.9,29.4,37,0,WSW,24,1007.1
,2022-12-26,14.0,26.7,0,7.2,13.2,SSW,48,17:52,23.3,57,1,WSW,9,1010.6,24.0,54,3,SW,31,1010.7
,2022-12-27,11.2,27.6,0,6.4,12.6,SW,44,13:13,22.9,48,6,SSE,19,1019.5,26.2,41,0,SW,28,1017.1
,2022-12-28,14.5,32.4,0,11.0,13.1,E,48,01:11,21.5,39,0,E,26,1021.5,31.7,11,0,E,13,1016.0
,2022-12-29,14.1,35.6,0,9.0,13.1,E,48,03:58,26.0,32,0,ENE,17,1014.6,34.0,16,0,SW,28,1010.5
,2022-12-30,12.5,32.2,0,11.0,13.3,WSW,37,12:59,27.3,32,0, ,Calm,1009.1,28.9,34,0,WSW,24,1007.1
,2022-12-31,16.6,26.8,0,11.6,7.0,SSW,50,19:15,20.4,67,8,SSW,15,1009.8,24.7,49,5,SW,35,1008.6
