"Daily Weather Observations for Perth Airport, Western Australia for January 2023"
"Prepared at 13:03 UTC on Tuesday  7 February 2023   IDCJDW6110.202301"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-01-1,14.4,29.2,0,10.2,12.7,WSW,44,16:05,22.0,45,1,E,15,1013.6,27.0,40,0,SW,28,1010.2
,2023-01-2,15.6,33.9,0,9.4,13.0,ESE,50,23:03,21.3,46,0,E,31,1015.8,33.0,16,0,SE,28,1010.4
,2023-01-3,17.1,34.7,0,10.2,13.1,E,57,08:18,23.7,42,1,E,31,1014.4,33.8,18,1,E,24,1009.9
,2023-01-4,17.1,35.8,0,11.4,13.0,E,63,23:50,24.6,44,0,E,33,1012.8,34.6,16,0,E,24,1008.8
,2023-01-5,19.5,37.9,0,12.0,12.6,E,70,02:46,28.4,29,0,ENE,41,1009.6,36.7,11,0,SE,13,1006.1
,2023-01-6,25.2,33.4,0,12.8,8.4,S,59,21:35,32.2,17,4,NNW,13,1005.3,25.1,55,7,SW,35,1006.0
,2023-01-7,12.7,28.4,0,9.4,13.0,SW,48,15:40,20.2,45,1,SSE,20,1013.2,26.3,38,0,WSW,31,1009.7
,2023-01-8,15.6,30.1,0,8.2,13.1,SW,41,15:20,22.8,44,0,E,13,1014.6,29.1,38,0,SW,28,1011.5
,2023-01-9,17.8,38.4,0,8.8,13.1,E,59,23:07,25.7,43,0,E,20,1012.6,37.5,19,0,SE,11,1007.5
,2023-01-10,25.1,36.1,0,11.0,10.8,ESE,59,06:40,32.2,27,0,ENE,28,1004.5,27.2,55,1,WSW,30,1007.5
,2023-01-11,19.2,27.6,0,10.2,11.8,W,41,13:36,23.1,48,3,SSW,13,1012.9,26.2,44,0,WSW,24,1011.6
,2023-01-12,15.1,33.0,0,9.2,13.0,W,39,14:06,25.2,43,0,SE,9,1013.6,30.2,38,0,WSW,24,1011.1
,2023-01-13,17.1,29.6,0,7.8,13.1,SW,52,17:58,24.1,52,0,S,22,1015.0,27.5,47,0,SW,35,1014.8
,2023-01-14,14.3,31.4,0,9.6,13.0,ESE,52,06:59,20.8,41,0,ESE,37,1021.7,31.0,15,0,ESE,28,1015.9
,2023-01-15,15.7,33.0,0,11.2,12.3,E,54,05:31,23.2,36,2,E,28,1012.5,30.2,31,3,SW,30,1007.0
,2023-01-16,15.9,26.5,0,11.8,12.8,WSW,54,14:03,21.5,53,5,S,35,1011.6,24.5,47,0,SW,37,1011.0
,2023-01-17,13.5,29.3,0,9.2,13.1,ESE,67,23:31,19.6,40,0,SE,20,1019.9,28.4,21,1,SSE,15,1016.0
,2023-01-18,15.4,32.3,0,10.0,12.9,E,78,04:19,21.1,39,3,E,30,1019.2,31.4,20,6,E,20,1014.7
,2023-01-19,17.2,35.2,0,10.8,12.0,E,72,01:59,24.9,34,2,E,28,1013.1,34.3,21,1,ESE,24,1008.6
,2023-01-20,20.5,37.9,0,10.2,12.5,NW,46,14:59,27.6,37,1,E,26,1010.6,36.5,21,4,WNW,35,1006.8
,2023-01-21,24.3,40.7,0,12.0,13.0,E,50,03:05,33.1,17,2,ENE,22,1009.3,38.1,15,3,WSW,24,1006.1
,2023-01-22,22.0,35.4,0,12.0,12.8,N,37,10:18,29.9,37,1,N,17,1009.0,31.6,45,1,W,17,1008.1
,2023-01-23,17.7,36.8,0,8.2,12.8,SW,37,13:03,28.7,33,0,E,15,1010.6,32.1,38,0,W,24,1008.4
,2023-01-24,18.3,33.6,0,9.0,12.2,WSW,41,16:48,27.1,42,0,SSE,13,1009.5,31.5,36,0,SW,26,1008.5
,2023-01-25,18.0,33.9,0,10.0,13.0,E,39,23:42,23.8,49,0,E,17,1014.3,33.2,22,0,WSW,20,1011.7
,2023-01-26,17.9,34.1,0,11.6,13.0,E,50,00:51,25.1,46,0,ENE,13,1013.2,31.4,28,0,SW,31,1009.1
,2023-01-27,16.0,29.5,0,8.4,11.9,SW,48,16:58,23.0,43,1,S,20,1010.6,27.7,49,1,SW,31,1008.3
,2023-01-28,16.4,32.5,0,8.8,12.8,ESE,44,02:25,22.6,47,0,ESE,17,1011.8,31.5,28,1,WSW,17,1007.0
,2023-01-29,17.8,38.0,0,11.0,10.7,E,63,01:32,26.9,35,5,ENE,17,1010.5,36.3,19,7,E,9,1007.4
,2023-01-30,23.2,39.5,0,9.4,12.7,E,56,01:04,30.9,29,1,NE,20,1009.6,37.4,19,1,WSW,26,1007.0
,2023-01-31,22.7,36.7,0,9.8,12.6,ESE,76,23:09,26.9,43,2,ENE,20,1010.5,36.1,24,2,SSE,15,1007.5
